situation,thought,action,polarity
I ask all my friends if they want to go out to eat with me and my boss . ,my boss and friends will enjoy the food .,I take good care of them . ,1
I ask all my friends if they want to go out to eat with me and my boss . ,my boss and friends will enjoy the food .,I choose the best restaurant . ,1
I ask all my friends if they want to go out to eat with me and my boss . ,hey will have a good time .,I pay for their meal . ,1
I ask all my friends if they want to go out to eat with me and my boss . ,hey will have a good time .,I take them to the best restaurant in town . ,1
I checked with all my friends to see if they wanted to go see the new Star Wars movie . ,ryone is going to say yes .,I buy the tickets in advance . ,1
I checked with all my friends to see if they wanted to go see the new Star Wars movie . ,most of them will want to go with me .,I bought the tickets in advance . ,1
I checked with all my friends to see if they wanted to go see the new Star Wars movie . ,we are all going to have a good time .,I bought the tickets in advance . ,1
I checked with all my friends to see if they wanted to go see the new Star Wars movie . ,we're all going to have fun .,I bought the tickets . ,1
I checked with all my friends to see if they wanted to go see the new Star Wars movie . ,I will have a great time with them .,I went online and bought the tickets . ,1
I asked all my friends to send me postcards from their summer vacations . ,I will get postcards from all of them .,I am waiting patiently . ,1
I asked all my friends to send me postcards from their summer vacations . ,hey will actually write to me .,I eagerly wait for the mailman every day . ,1
I asked all my friends to send me postcards from their summer vacations . ,hey will actually write to me .,I was really excited to check my mailbox every day . ,1
I asked all my friends for their opinions on my new girlfriend . ,I made the right decision .,I thanked them all . ,1
I asked all my friends for their opinions on my new girlfriend . ,I made the right decision .,I took her out on a date . ,1
I asked all my friends for their opinions on my new girlfriend . ,I made the right decision .,I went with my gut . ,1
I asked all my friends for their opinions on my new girlfriend . ,he is the one for me .,I didn't listen to their feedback . ,1
I asked all my friends for their opinions on my new girlfriend . ,he is the one for me .,I took her to meet my parents . ,1
I asked all my friends for their opinions on my new girlfriend . ,he is the one for me .,I decided to introduce her to my parents . ,1
I asked all my friends for their opinions on my new girlfriend . ,I got good feedback from them .,I decided to stay with her . ,1
I asked all my friends for their opinions on my new girlfriend . ,I got good feedback from them .,I decided to ask her out . ,1
I asked all my friends for their opinions on my new girlfriend . ,I got good feedback from them .,I was happy with my decision . ,1
I asked all my friends for their opinions on my new girlfriend . ,hey all approve of her .,I am going to introduce her to my parents . ,1
I asked all my friends for their opinions on my new girlfriend . ,hey all approve of her .,I am going to continue dating her . ,1
I asked all my friends for their opinions on my new girlfriend . ,hey all approve of her .,I am going to ask her to be my girlfriend . ,1
The boss asserted his authority by yelling at the employees . ,he is a very powerful and scary individual .,I avoided his gaze . ,1
The boss asserted his authority by yelling at the employees . ,he is a very powerful and scary individual .,I stayed away from his office . ,1
The boss asserted his authority by yelling at the employees . ,he will get what he deserves .,Iplot my revenge . ,1
The boss asserted his authority by yelling at the employees . ,he will get what he deserves .,I secretly enjoyed it . ,1
The boss asserted his authority by yelling at the employees . ,he will get what he deserves .,I smiled to myself . ,1
The boss asserted his authority by yelling at the employees . ,he will be respected .,I take notes carefully . ,1
The boss asserted his authority by yelling at the employees . ,he will be respected .,I worked harder . ,1
The boss asserted his authority by yelling at the employees . ,he will be respected .,I followed his suit . ,1
The boss asserted his authority by yelling at the employees . ,he is finally taking charge .,I and others will follow his lead . ,1
The boss asserted his authority by yelling at the employees . ,he is finally taking charge .,I take his side . ,1
I assert my authority by telling my employees what to do . ,my employees will obey me .,I will get the work done more efficiently . ,1
I assert my authority by telling my employees what to do . ,my employees will obey me .,I don't have to micromanage them . ,1
I assert my authority by telling my employees what to do . ,my employees will obey me .,I don't worry about them . ,1
I assert my authority by telling my employees what to do . ,I am the boss .,I ordering them around . ,1
I assert my authority by telling my employees what to do . ,I am the boss .,they follow my orders . ,1
I assert my authority by telling my employees what to do . ,I am the boss .,I don't listen to their suggestions . ,1
I assert my authority by telling my employees what to do . ,'s good for work .,I don't hesitate to do so . ,1
I assert my authority by telling my employees what to do . ,'s good for work .,I provide what they need to get the job done . ,1
I assert my authority by telling my employees what to do . ,'s good for work .,they should do as they're told . ,1
The boss wasasserting her authority by yelling at the employees . ,assertive people are more likely to get what they want .,I take assertive actions . ,1
